//Index   OptionIndex   OptionValue   ItemMinIndex   ItemMaxIndex   ItemOption1   ItemOption2   ItemOption3   ItemNewOption   Comment
0         0             0             0000           2559           1             *             *             *               //General Weapon
0         0             0             2580           2589           *             *             *             *               //General Book
0         0             0             3072           3583           1             *             *             *               //General Shield
0         49            0             6659           6659           *             *             *             *               //Dinorant
0         62            0             6660           6660           *             *             *             *               //Dark Horse
1         84            5             0000           2559           *             1             *             *               //General Weapon
1         84            5             2560           2579           *             1             *             *               //General Staff
1         84            5             2580           2589           *             1             *             *               //General Book
1         84            5             2590           3071           *             1             *             *               //General Staff
1         84            5             3072           3583           *             1             *             *               //General Shield
1         84            5             3584           6143           *             1             *             *               //General Armor
1         84            5             6144           6144           *             1             *             *               //Wings of Fairy
1         84            5             6145           6145           *             1             *             *               //Wings of Angel
1         84            5             6146           6146           *             1             *             *               //Wings of Satan
1         84            5             6147           6147           *             1             *             *               //Wings of Spirit
1         84            5             6148           6148           *             1             *             *               //Wings of Soul
1         84            5             6149           6149           *             1             *             *               //Wings of Devil
1         84            5             6150           6150           *             1             *             *               //Wings of Darkness
2         80            4             0000           2559           *             *             1             *               //General Weapon
2         81            4             2560           2579           *             *             1             *               //General Staff
2         113           4             2580           2589           *             *             1             *               //General Book
2         81            4             2590           3071           *             *             1             *               //General Staff
2         82            5             3072           3583           *             *             1             *               //General Shield
2         83            4             3584           6143           *             *             1             *               //General Armor
2         85            1             6144           6144           *             *             1             *               //Wings of Fairy
2         81            4             6145           6145           *             *             1             *               //Wings of Angel
2         80            4             6146           6146           *             *             1             *               //Wings of Satan
2         80            4             6147           6147           *             *             1             *               //Wings of Spirit
2         85            1             6147           6147           *             *             1             32              //Wings of Spirit
2         85            1             6148           6148           *             *             1             *               //Wings of Soul
2         81            4             6148           6148           *             *             1             32              //Wings of Soul
2         85            1             6149           6149           *             *             1             *               //Wings of Devil
2         80            4             6149           6149           *             *             1             32              //Wings of Devil
2         81            4             6150           6150           *             *             1             *               //Wings of Darkness
2         80            4             6150           6150           *             *             1             32              //Wings of Darkness
2         85            1             6664           6664           *             *             1             *               //Ring of Ice
2         85            1             6665           6665           *             *             1             *               //Ring of Poison
2         85            1             6677           6677           *             *             1             *               //Ring of Fire
2         85            1             6678           6678           *             *             1             *               //Ring of Earth
2         85            1             6679           6679           *             *             1             *               //Ring of Wind
2         90            1             6680           6680           *             *             1             *               //Ring of Magic
2         85            1             6668           6668           *             *             1             *               //Pendant of Lighting
2         85            1             6669           6669           *             *             1             *               //Pendant of Fire
2         85            1             6681           6681           *             *             1             *               //Pendant of Ice
2         85            1             6682           6682           *             *             1             *               //Pendant of Wind
2         85            1             6683           6683           *             *             1             *               //Pendant of Water
2         104           1             6684           6684           *             *             1             *               //Pendant of Ability
2         80            4             6686           6686           *             *             1             *               //Cape of Lord
3         99            12            0000           2559           *             *             *             1               //General Weapon
3         99            12            2560           2579           *             *             *             1               //General Staff
3         99            12            2580           2589           *             *             *             1               //General Book
3         99            12            2590           3071           *             *             *             1               //General Staff
3         86            30            3072           3583           *             *             *             1               //General Shield
3         86            30            3584           6143           *             *             *             1               //General Armor
3         86            30            6664           6664           *             *             *             1               //Ring of Ice
3         86            30            6665           6665           *             *             *             1               //Ring of Poison
3         86            30            6677           6677           *             *             *             1               //Ring of Fire
3         86            30            6678           6678           *             *             *             1               //Ring of Earth
3         86            30            6679           6679           *             *             *             1               //Ring of Wind
3         86            30            6680           6680           *             *             *             1               //Ring of Magic
3         99            12            6668           6668           *             *             *             1               //Pendant of Lighting
3         99            12            6669           6669           *             *             *             1               //Pendant of Fire
