//Index   NonPK   ViewRange   ExperienceRate   ItemDropRate   ExcItemDropRate   SetItemDropRate   SocketItemDrop   Comment
0         *       12          100              100            1000              0                 0                //Lorencia
1         *       12          100              100            1000              0                 0                //Dungeon
2         *       12          100              100            1000              0                 0                //Devias
3         *       12          100              100            1000              0                 0                //Noria
4         *       12          100              100            1000              0                 0                //Lost Tower
6         *       10          100              100            1000              0                 0                //Arena
7         *       12          100              100            1000              0                 0                //Atlans
8         *       12          100              100            1000              0                 0                //Tarkan
9         *       10          100              100            1000              0                 0                //Devil Square 1
10        *       12          100              100            1000              0                 0                //Icarus
11        *       10          100              100            1000              0                 0                //Blood Castle 1
12        *       10          100              100            1000              0                 0                //Blood Castle 2
13        *       10          100              100            1000              0                 0                //Blood Castle 3
14        *       10          100              100            1000              0                 0                //Blood Castle 4
15        *       10          100              100            1000              0                 0                //Blood Castle 5
16        *       10          100              100            1000              0                 0                //Blood Castle 6
17        *       10          100              100            1000              0                 0                //Blood Castle 7
18        *       10          100              100            1000              0                 0                //Chaos Castle 1
19        *       10          100              100            1000              0                 0                //Chaos Castle 2
20        *       10          100              100            1000              0                 0                //Chaos Castle 3
21        *       10          100              100            1000              0                 0                //Chaos Castle 4
22        *       10          100              100            1000              0                 0                //Chaos Castle 5
23        *       10          100              100            1000              0                 0                //Chaos Castle 6
24        *       12          100              100            1000              0                 0                //Kalima 1
25        *       12          100              100            1000              0                 0                //Kalima 2
26        *       12          100              100            1000              0                 0                //Kalima 3
27        *       12          100              100            1000              0                 0                //Kalima 4
28        *       12          100              100            1000              0                 0                //Kalima 5
29        *       12          100              100            1000              0                 0                //Kalima 6
30        *       10          100              100            1000              0                 0                //Castle Siege
31        *       12          100              100            1000              1000              0                //Land of Trials
32        *       10          100              100            1000              0                 0                //Devil Square 2
33        *       12          100              100            1000              0                 0                //Aida
34        *       12          100              100            1000              0                 0                //Crywolf
36        *       12          100              100            1000              0                 0                //Kalima 7
37        *       12          100              100            1000              0                 0                //Kanturu 1
38        *       12          100              100            1000              0                 0                //Kanturu 2
39        *       12          100              100            1000              0                 0                //Kanturu 3
40        *       12          100              100            1000              0                 0                //Silent
41        *       12          100              100            1000              0                 0                //Barracks
42        *       12          100              100            1000              0                 0                //Refuge
45        *       12          100              100            1000              0                 0                //Illusion Temple 1
46        *       12          100              100            1000              0                 0                //Illusion Temple 2
47        *       12          100              100            1000              0                 0                //Illusion Temple 3
48        *       12          100              100            1000              0                 0                //Illusion Temple 4
49        *       12          100              100            1000              0                 0                //Illusion Temple 5
50        *       12          100              100            1000              0                 0                //Illusion Temple 6
51        *       12          100              100            1000              0                 0                //Elbeland
52        *       10          100              100            1000              0                 0                //Blood Castle 8
53        *       10          100              100            1000              0                 0                //Chaos Castle 7
56        *       12          100              100            1000              0                 0                //Swamp of Calmness
57        *       12          100              100            1000              0                 1                //Raklion 1
58        *       12          100              100            1000              0                 1                //Raklion 2
62        *       12          100              100            1000              0                 0                //Santa Town
end
