//Index   Name                    RequireMoney   MinLevel   MaxLevel   MinReset   MaxReset   AccountLevel   Gate
1         "Arena"                 2000           50         10000      *          *          0              50
2         "Lorencia"              2000           10         10000      *          *          0              17
3         "Noria"                 2000           10         10000      *          *          0              27
31        "Elbeland"              2000           10         10000      *          *          0              267
32        "Elbeland2"             2500           10         10000      *          *          0              268
43        "Elbeland3"             3000           10         10000      *          *          0              269
4         "Devias"                2000           20         10000      *          *          0              22
5         "Devias2"               2500           20         10000      *          *          0              72
6         "Devias3"               3000           20         10000      *          *          0              73
7         "Devias4"               3500           20         10000      *          *          0              74
8         "Dungeon"               3000           30         10000      *          *          0              2
9         "Dungeon2"              3500           40         10000      *          *          0              6
10        "Dungeon3"              4000           50         10000      *          *          0              10
11        "Atlans"                4000           70         10000      *          *          0              49
12        "Atlans2"               4500           80         10000      *          *          0              75
13        "Atlans3"               5000           90         10000      *          *          0              76
14        "LostTower"             5000           50         10000      *          *          0              42
15        "LostTower2"            5500           50         10000      *          *          0              31
16        "LostTower3"            6000           50         10000      *          *          0              33
17        "LostTower4"            6500           60         10000      *          *          0              35
18        "LostTower5"            7000           60         10000      *          *          0              37
19        "LostTower6"            7500           70         10000      *          *          0              39
20        "LostTower7"            8000           70         10000      *          *          0              41
21        "Tarkan"                8000           140        10000      *          *          0              57
22        "Tarkan2"               8500           140        10000      *          *          0              77
25        "Aida1"                 8500           150        10000      *          *          0              119
27        "Aida2"                 8500           150        10000      *          *          0              140
23        "Icarus"                10000          170        10000      *          *          0              63
28        "Kanturu1"         	  9000           200        10000      *          *          0              138
29        "Kanturu2"         	  9000           220        10000      *          *          0              141
45        "Kanturu_ruin_island"   15000          160        10000      *          *          0              334
30        "KanturuRelic"          12000          230        10000      *          *          0              139
46        "Karutan1"              13000          170        10000      *          *          0              335
47        "Karutan2"              14000          170        10000      *          *          0              344
34        "Raklion"               15000          280        10000      *          *          0              287
33        "SwampofCalmness"       15000          400        10000      *          *          0              273
26        "Crywolf"               0              10         10000      *          *          0              118
end
