//Section   Type   Level   Dur   Skill   Luck   Option   Excellent
0           32     0       0     1       1      1        0
0           33     1       0     1       1      1        0
0           34     2       0     1       1      1        0
0           35     2       0     1       1      1        0
2           18     2       0     1       1      1        0
3           11     2       0     1       1      1        0
5           36     2       0     1       1      1        0
6           21     2       0     1       1      1        0
12          130    2       0     1       1      1        0
12          131    2       0     1       1      1        0
12          132    2       0     1       1      1        0
12          133    2       0     1       1      1        0
12          134    2       0     1       1      1        0
12          135    2       0     1       1      1        0
13          107    0       1     0       0      0        0
13          109    0       1     0       0      0        0
13          110    0       1     0       0      0        0
13          111    0       1     0       0      0        0
13          112    0       1     0       0      0        0
13          113    0       1     0       0      0        0
13          114    0       1     0       0      0        0
13          115    0       1     0       0      0        0
14          125    0       1     0       0      0        0
14          154    0       1     0       0      0        0
14          153    0       1     0       0      0        0
14          162    0       1     0       0      0        0
13          166    0       1     0       0      0        0
15          30     0       1     0       0      0        0
15          31     0       1     0       0      0        0
15          32     0       1     0       0      0        0
15          33     0       1     0       0      0        0
15          34     0       1     0       0      0        0
15          35     0       1     0       0      0        0
15          36     0       1     0       0      0        0
end

