//Section   Type   Level   Dur   Skill   Luck   Option   Excellent
14          9      0       1     0       0      0        0
14          10     0       1     0       0      0        0
13          16     1       1     0       0      0        0
13          16     2       1     0       0      0        0
13          17     1       1     0       0      0        0
13          17     2       1     0       0      0        0
14          17     1       0     0       0      0        0
14          17     2       0     0       0      0        0
14          18     1       0     0       0      0        0
14          18     2       0     0       0      0        0
13          29     0       1     0       0      0        0
end
