//Section   Type   Level   Dur   Skill   Luck   Option   Excellent
7           39     2       0     0       1      1        0
8           39     2       0     0       1      1        0
9           39     2       0     0       1      1        0
10          39     2       0     0       1      1        0
11          39     2       0     0       1      1        0
7           40     3       0     0       1      1        0
8           40     3       0     0       1      1        0
9           40     3       0     0       1      1        0
10          40     3       0     0       1      1        0
11          40     3       0     0       1      1        0
1           0      1       0     0       1      1        0
0           1      0       0     0       1      1        0
1           1      1       0     0       1      1        0
0           2      2       0     1       1      1        0
1           4      1       0     0       1      1        0
0           0      1       0     0       1      1        0
5           0      1       0     0       1      1        0
5           14     1       0     0       1      1        0
5           15     2       0     0       1      1        0
5           16     3       0     0       1      1        0
end
